,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
858,CHEMBL504034,CS(=O)(=O)CCNC(=O)O[C@H]1CN[C@H](C#Cc2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2)C1,active,644.1500000000001,4.659200000000004,3.0,10.0,7.494850021680094
859,CHEMBL461869,CCNC(=O)O[C@@H]1CN[C@@H](C#Cc2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2)C1,active,566.0580000000001,5.634500000000004,3.0,8.0,7.494850021680094
860,CHEMBL466412,CN(C)C(=O)O[C@@H]1CN[C@@H](C#Cc2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2)C1,active,566.0580000000001,5.586600000000003,2.0,8.0,7.3979400086720375
861,CHEMBL450109,O=C(O[C@@H]1CN[C@@H](C#Cc2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2)C1)N1CCOCC1,active,608.0949999999999,5.357200000000005,2.0,9.0,7.494850021680094
862,CHEMBL466614,CCNC(=O)O[C@@H]1CN[C@H](C#Cc2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2)C1,active,566.0580000000001,5.634500000000004,3.0,8.0,7.200659450546418
863,CHEMBL466615,CN(C)C(=O)O[C@@H]1CN[C@H](C#Cc2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2)C1,active,566.0580000000001,5.586600000000003,2.0,8.0,7.200659450546418
864,CHEMBL447365,O=C(O[C@@H]1CN[C@H](C#Cc2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2)C1)N1CCOCC1,active,608.0949999999999,5.357200000000005,2.0,9.0,7.3979400086720375
865,CHEMBL466174,CCNC(=O)O[C@H]1CN[C@@H](C#Cc2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2)C1,active,566.0580000000001,5.634500000000004,3.0,8.0,7.698970004336019
866,CHEMBL466175,CN(C)C(=O)O[C@H]1CN[C@@H](C#Cc2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2)C1,active,566.0580000000001,5.586600000000003,2.0,8.0,7.200659450546418
867,CHEMBL450396,O=C(O[C@H]1CN[C@@H](C#Cc2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2)C1)N1CCOCC1,active,608.0949999999999,5.357200000000005,2.0,9.0,7.200659450546418
